tenta = 0     247 50 4 1 4 8 8 10 |0| 78.2% | poid actuel :400.4  | max :512.0 | SN/ECHEC
tenta = 0     295 50 4 1 10 10 10 10 |0| 89.84% | poid actuel :460.0  | max :512.0 SN/ECHE
tenta = 0     295 49 4 1 10 10 10 10 |0| 91.41% | poid actuel :468.0  | max :512.0 SC
#déjà noter
 tenta = 1     296 48 4 1 10 10 10 10 |tenta_po =1 |0| 89.1% | poid actuel :456.2  | max :512.0 | SN/ECHEC 
tenta = 2     300 48 4 1 10 10 8 10 |tenta_po =7 |0| 87.3% | poid actuel :447.0  | max :512.0 | SN/ECHEC 
tenta = 2     296 48 4 1 10 9 9 10 |tenta_po =8 |0| 87.15% | poid actuel :446.2  | max :512.0 | SN/ECHEC 
tenta = 2     296 39 1 1 10 9 9 9 |tenta_po =9 |0| 76.6% | poid actuel :392.2  | max :512.0 |SC 
tenta = 3     295 47 4 1 9 9 9 10 |tenta_po =10 |0| 85.74% | poid actuel :439.0  | max :512.0 | SN/ECHEC 
tenta = 4     300 43 4 1 10 1 0 10 |tenta_po =11 |0| 68.75% | poid actuel :352.0  | max :512.0 | SN/ECHEC 
tenta = 5     294 50 4 1 10 9 8 2 |tenta_po =12 |0| 77.5% | poid actuel :396.8  | max :512.0 |SC 
tenta = 5     294 49 4 1 10 10 10 10 |tenta_po =13 |0| 89.41% | poid actuel :457.8  | max :512.0 | SN/ECHEC 
tenta = 5     298 49 4 1 10 9 9 10 |tenta_po =14 |0| 87.62% | poid actuel :448.6  | max :512.0 | SN/ECHEC 
tenta = 5     276 46 0 1 10 9 9 10 |tenta_po =15 |0| 77.77% | poid actuel :398.2  | max :512.0 | SN/ECHEC 
tenta = 5     298 50 4 1 10 10 9 10 |tenta_po =16 |0| 88.98% | poid actuel :455.6  | max :512.0 | SN/ECHEC 
tenta = 5     295 46 4 1 10 10 9 10 |tenta_po =17 |0| 87.3% | poid actuel :447.0  | max :512.0 |SC 
tenta = 7     298 49 4 1 8 6 9 9 |tenta_po =18 |0| 81.56% | poid actuel :417.6  | max :512.0 | SN/ECHEC 
tenta = 7     296 50 4 1 10 9 9 10 |tenta_po =19 |0| 87.93% | poid actuel :450.2  | max :512.0 | SN/ECHEC 
tenta = 7     296 26 4 1 10 9 9 10 |tenta_po =20 |0| 78.55% | poid actuel :402.2  | max :512.0 | SN/ECHEC 
tenta = 7     294 48 4 1 9 9 9 10 |tenta_po =21 |0| 86.09% | poid actuel :440.8  | max :512.0 | SN/ECHEC 
tenta = 7     294 48 4 1 10 10 10 10 |tenta_po =22 |0| 89.02% | poid actuel :455.8  | max :512.0 | SN/ECHEC 
tenta = 7     298 50 4 1 10 9 9 10 |tenta_po =23 |0| 88.01% | poid actuel :450.6  | max :512.0 | SN/ECHEC 
tenta = 7     298 48 4 1 10 10 10 10 |tenta_po =24 |0| 89.18% | poid actuel :456.6  | max :512.0 | SN/ECHEC 
tenta = 8     295 46 0 1 9 9 9 10 |tenta_po =25 |0| 77.54% | poid actuel :397.0  | max :512.0 | SN/ECHEC 
tenta = 9     296 47 4 1 9 9 9 10 |tenta_po =26 |0| 85.78% | poid actuel :439.2  | max :512.0 | SN/ECHEC 
tenta = 9     298 47 4 1 8 7 6 7 |tenta_po =27 |0| 76.48% | poid actuel :391.6  | max :512.0 |SC 
tenta = 10     297 50 4 1 10 10 9 10 |tenta_po =28 |0| 88.95% | poid actuel :455.4  | max :512.0 | SN/ECHEC 
tenta = 10     300 50 4 1 10 10 9 10 |tenta_po =29 |0| 89.06% | poid actuel :456.0  | max :512.0 | SN/ECHEC 
tenta = 10     297 48 4 1 7 8 7 10 |tenta_po =30 |0| 81.33% | poid actuel :416.4  | max :512.0 | SN/ECHEC 
tenta = 10     297 35 4 1 5 7 5 10 |tenta_po =31 |0| 71.37% | poid actuel :365.4  | max :512.0 |SC 
